index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
0,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2024-04-08,red canids,imperial,-1,19,L,58.5,0
1,RES Regional Series 3 LATAM,2024-04-07,pain,galorys,14,-1,W,69.66666666666667,22.0
2,RES Regional Series 3 LATAM,2024-04-07,imperial,furia academy,19,-1,W,70.66666666666667,24.0
3,LuckyCasino Cup 2024,2024-04-07,metizport,eyeballers,29,-1,W,51.857142857142854,20.7
4,LuckyCasino Cup 2024,2024-04-07,metizport,johnny speeds,29,-1,W,51.857142857142854,20.7
5,RES Regional Series 3 LATAM,2024-04-07,mibr,bounty hunters,27,-1,W,64.66666666666667,23.5
6,A1 Gaming League Season 8,2024-04-06,betboom,alliance,30,-1,W,53.0,22.0
7,LuckyCasino Cup 2024,2024-04-06,metizport,young gods,29,-1,W,51.857142857142854,20.7
8,ESL Challenger League Season 47 South America,2024-04-06,fluxo,mibr,-1,27,L,55.0,24.5
9,ESL Challenger League Season 47 South America,2024-04-06,mibr,fluxo,27,-1,L,64.66666666666667,23.5
10,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2024-04-05,mibr,oddik,27,-1,W,64.66666666666667,23.5
11,BetBoom Dacha Belgrade 2024 Europe Closed Qualifier,2024-04-05,betboom,bleed,30,-1,W,53.0,22.0
12,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2024-04-05,pain,sharks,14,-1,W,69.66666666666667,22.0
13,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-05,9 pandas,secret,23,-1,L,51.857142857142854,26.0
14,Thunderpick World Championship 2024 EU Closed Qualifier 1,2024-04-05,saw,pge turow,17,-1,W,70.0,26.1
15,ESL Challenger League Season 47 South America,2024-04-05,sharks,pain,-1,14,L,52.0,23.0
16,ESL Challenger League Season 47 South America,2024-04-05,solid,mibr,-1,27,L,41.833333333333336,0
17,ESL Challenger League Season 47 South America,2024-04-05,oddik,imperial,-1,19,L,40.833333333333336,25.2
18,ESL Challenger League Season 47 South America,2024-04-05,mibr,solid,27,-1,W,64.66666666666667,23.5
19,ESL Challenger League Season 47 South America,2024-04-05,pain,sharks,14,-1,W,69.66666666666667,22.0
20,ESL Challenger League Season 47 South America,2024-04-05,imperial,oddik,19,-1,W,70.66666666666667,24.0
21,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,2024-04-04,imperial,bestia,19,-1,W,70.66666666666667,24.0
22,ESL Challenger League Season 47 Europe,2024-04-04,9 pandas,tsm,23,-1,W,51.857142857142854,26.0
